campaign_id,date,channel,region,product,impressions,clicks,spend,revenue
1,2024-10-16,Social Media,North,Product_C,33098,1365,2423,9553
2,2023-03-31,Billboard,West,Product_A,4905,113,65,202
3,2024-10-27,Partners,Central,Product_D,29893,2178,1610,6832
4,2023-06-13,Partners,West,Product_C,37421,1188,2007,3551
5,2023-04-10,Email,East,Product_C,6695,750,353,1287
6,2024-07-19,Email,Central,Product_C,76674,2830,542,1989
7,2023-03-23,Google Ads,North,Product_D,37434,2750,7155,12457
8,2024-11-17,Email,North,Product_B,71010,7958,1973,6250
9,2024-10-17,Partners,Central,Product_B,90733,5026,7165,14018
10,2023-11-20,TV,East,Product_A,28653,3949,5163,14077
11,2024-05-26,TV,West,Product_B,35718,1055,1679,5489
12,2024-03-14,Billboard,West,Product_C,29746,4450,2073,6536
13,2023-04-23,Google Ads,South,Product_D,79172,1495,2266,9199
14,2024-07-20,Social Media,North,Product_C,85012,4898,4791,6374
15,2023-09-27,Billboard,South,Product_A,82959,4295,4581,10961
16,2023-06-15,Billboard,Central,Product_A,79504,4403,1423,6675
17,2023-11-11,Google Ads,North,Product_B,75364,10744,8655,17424
18,2024-06-29,Google Ads,South,Product_D,73063,2419,4514,17410
19,2024-07-06,Partners,South,Product_C,53296,7958,10025,26291
20,2023-05-04,Google Ads,South,Product_A,45313,586,1130,2364
21,2024-12-25,Partners,North,Product_B,9834,1344,2087,2949
22,2024-11-16,TV,South,Product_B,95811,13506,17742,55703
23,2024-02-21,Google Ads,North,Product_A,87374,6146,9935,30144
24,2024-11-20,Partners,North,Product_A,53772,6019,8852,12791
25,2024-07-03,TV,South,Product_D,25050,1227,981,3608
26,2024-07-17,Social Media,North,Product_A,13224,1847,3652,6936
27,2023-08-07,TV,North,Product_B,50672,522,534,2386
28,2023-10-20,TV,Central,Product_D,21289,778,582,1093
29,2023-03-04,Partners,East,Product_A,7572,694,731,2109
30,2024-06-04,Social Media,South,Product_A,78992,1541,3083,9786
31,2024-08-06,Google Ads,Central,Product_A,82183,1765,3843,9961
32,2023-09-25,Google Ads,East,Product_B,35814,2342,5180,10369
33,2023-03-16,Social Media,West,Product_A,10602,904,1229,2046
34,2023-03-12,Google Ads,East,Product_C,21676,1546,2943,8568
35,2024-10-31,Billboard,North,Product_C,87951,2154,2915,7772
36,2024-07-20,Google Ads,East,Product_C,80276,3169,4509,17586
37,2024-06-01,TV,East,Product_A,13097,1293,2232,3235
38,2023-05-14,Partners,East,Product_B,98154,7053,9436,21008
39,2024-12-08,Google Ads,Central,Product_A,49393,4521,4319,6950
40,2023-02-10,Email,South,Product_B,88416,2156,1332,4664
41,2024-09-27,Partners,South,Product_B,22299,3270,4856,12856
42,2023-12-07,TV,South,Product_C,21866,2629,1506,6735
43,2023-08-16,Google Ads,West,Product_C,41001,5120,13778,31067
44,2024-02-13,Email,East,Product_A,37585,2223,1012,3904
45,2023-12-06,Social Media,North,Product_C,24405,2227,4944,8345
46,2023-12-20,Partners,East,Product_D,80457,11890,6086,18572
47,2023-02-15,Partners,West,Product_A,69146,9651,10653,40240
48,2024-11-17,Google Ads,East,Product_D,10171,1452,4079,13695
49,2023-05-08,Partners,East,Product_C,88410,5938,5423,9427
50,2024-03-06,Partners,West,Product_B,81676,7324,6727,21274
51,2023-08-04,TV,Central,Product_C,61946,4450,6590,21532
52,2023-06-23,Partners,North,Product_C,68561,7057,8588,18924
53,2023-08-29,Partners,East,Product_B,27100,830,344,1453
54,2023-03-16,TV,West,Product_B,95155,10228,12181,28107
